# Time (s),Altitude (ft),Vertical velocity (ft/s),Vertical acceleration (ft/s²),Total velocity (ft/s),Total acceleration (ft/s²),Position East of launch (ft),Position North of launch (ft),Lateral distance (ft),Lateral direction (°),Lateral velocity (ft/s),Lateral acceleration (ft/s²),Latitude (°),Longitude (°),Gravitational acceleration (ft/s²),Angle of attack (°),Roll rate (r/s),Pitch rate (r/s),Yaw rate (r/s),Mass (oz),Motor mass (oz),Longitudinal moment of inertia (lb·ft²),Rotational moment of inertia (lb·ft²),CP location (in),CG location (in),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (ft/s²),Reference length (in),Reference area (in²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (ft/s),Air temperature (°F),Air pressure (mbar),Speed of sound (ft/s),Simulation time step (s),Computation time (s),Dynamic Pressure (mbar)
40.553,32941.844,95.25,-32.096,178.839,32.102,7379.293,10.813,7379.3,0.084,151.363,0.622,32.9,-105.976,32.022,1.432,-0,0.021,0,1395.569,51.447,1564.956,4.993,126.769,102.144,4.104,0.195,7630337.544,0,6.621,0.503,0.506,0.384,0.014,0.105,0.251,0.907,-0,0,0,0,0,0.122,0.025,6,28.274,31.574,0.165,12.668,-69.7,267.103,974.606,0.05,0.194,6.382
40.603,32946.566,93.645,-32.078,177.963,32.084,7386.86,10.836,7386.868,0.084,151.332,0.627,32.9,-105.976,32.022,1.508,-0,0.021,0,1395.569,51.447,1564.956,4.993,126.586,102.144,4.074,0.194,7605049.129,0,6.585,0.503,0.506,0.384,0.014,0.105,0.265,0.955,0,0,0,0,0,0.125,0.025,6,28.274,31.193,0.165,12.945,-69.7,267.044,974.606,0.05,0.194,6.318
40.653,32951.208,92.041,-32.084,177.097,32.09,7394.426,10.86,7394.434,0.084,151.301,0.612,32.9,-105.976,32.022,1.449,-0,0.022,0,1395.569,51.447,1564.956,4.993,126.723,102.144,4.097,0.193,7548870.156,0,6.492,0.503,0.506,0.384,0.014,0.105,0.254,0.911,-0,0,0,0,0,0.13,0.025,6,28.274,30.808,0.165,12.325,-69.7,266.987,974.606,0.05,0.194,6.256
40.703,32955.77,90.437,-32.07,176.243,32.076,7401.99,10.884,7401.998,0.084,151.27,0.614,32.9,-105.976,32.022,1.504,-0,0.022,0,1395.569,51.447,1564.956,4.993,126.593,102.144,4.075,0.192,7519533.013,0,6.448,0.503,0.507,0.385,0.014,0.105,0.264,0.944,-0,0,0,0,0,0.133,0.025,6,28.274,30.418,0.166,12.46,-69.7,266.93,974.606,0.05,0.195,6.194
40.753,32960.252,88.834,-32.065,175.399,32.07,7409.553,10.908,7409.561,0.084,151.24,0.609,32.9,-105.976,32.022,1.513,-0,0.022,0,1395.569,51.447,1564.956,4.993,126.57,102.144,4.071,0.191,7479950.415,0,6.386,0.504,0.507,0.385,0.014,0.105,0.266,0.946,0,0,0,0,0,0.137,0.025,6,28.274,30.025,0.166,12.29,-69.7,266.875,974.606,0.05,0.195,6.134
40.803,32964.654,87.231,-32.042,174.566,32.048,7417.114,10.932,7417.122,0.084,151.209,0.617,32.9,-105.976,32.022,1.616,-0,0.022,-0,1395.569,51.447,1564.956,4.993,126.325,102.144,4.03,0.191,7463907.795,0,6.367,0.504,0.508,0.385,0.014,0.105,0.286,1.014,-0,0,0,0,0,0.141,0.024,6,28.274,29.627,0.166,12.773,-69.7,266.82,974.606,0.05,0.195,6.074
40.853,32968.975,85.629,-32.042,173.745,32.048,7424.673,10.956,7424.681,0.085,151.178,0.607,32.9,-105.976,32.022,1.593,-0,0.022,0,1395.569,51.447,1564.956,4.993,126.379,102.144,4.039,0.189,7417506.921,0,6.293,0.504,0.508,0.386,0.014,0.105,0.282,0.992,-0,0,0,0,0,0.145,0.024,6,28.274,29.226,0.167,12.385,-69.7,266.767,974.606,0.05,0.195,6.016
40.903,32973.217,84.027,-32.055,172.935,32.06,7432.232,10.98,7432.24,0.085,151.148,0.588,32.9,-105.976,32.022,1.497,-0,0.023,0,1395.569,51.447,1564.956,4.993,126.602,102.144,4.076,0.188,7353394.58,0,6.187,0.505,0.508,0.386,0.014,0.105,0.263,0.922,-0,0,0,0,0,0.151,0.024,6,28.274,28.82,0.167,11.49,-69.7,266.714,974.606,0.05,0.195,5.959
40.953,32977.378,82.425,-32.033,172.136,32.039,7439.788,11.004,7439.796,0.085,151.119,0.596,32.9,-105.976,32.022,1.598,-0,0.023,0,1395.569,51.447,1564.956,4.993,126.363,102.144,4.037,0.187,7338547.636,0,6.17,0.505,0.509,0.386,0.014,0.105,0.283,0.988,0,0,0,0,0,0.154,0.024,6,28.274,28.411,0.167,11.963,-69.7,266.663,974.606,0.05,0.196,5.903
41.003,32981.459,80.823,-32.02,171.348,32.026,7447.343,11.028,7447.351,0.085,151.089,0.597,32.9,-105.976,32.022,1.652,-0,0.023,0,1395.569,51.447,1564.956,4.993,126.235,102.144,4.015,0.187,7312955.076,0,6.133,0.505,0.509,0.386,0.014,0.105,0.294,1.021,-0,0,0,0,0,0.158,0.024,6,28.274,27.998,0.168,12.12,-69.7,266.612,974.606,0.05,0.196,5.848
41.053,32985.46,79.223,-31.978,170.573,31.984,7454.897,11.052,7454.905,0.085,151.059,0.62,32.9,-105.976,32.022,1.864,-0,0.023,-0,1395.569,51.447,1564.956,4.993,125.749,102.144,3.934,0.187,7329851.492,0,6.174,0.505,0.51,0.386,0.014,0.105,0.336,1.161,0,0,0,0,0,0.161,0.024,6,28.274,27.58,0.168,13.438,-69.7,266.563,974.606,0.05,0.196,5.794
41.103,32989.382,77.625,-31.962,169.809,31.968,7462.449,11.077,7462.457,0.085,151.028,0.623,32.9,-105.976,32.022,1.931,-0,0.024,-0,1395.569,51.447,1564.956,4.993,125.598,102.144,3.909,0.187,7310385.256,0,6.148,0.505,0.51,0.386,0.014,0.105,0.349,1.2,0,0,0,0,0,0.165,0.024,6,28.274,27.158,0.168,13.73,-69.7,266.514,974.606,0.05,0.196,5.741
41.153,32993.223,76.026,-31.977,169.056,31.983,7470,11.101,7470.008,0.085,150.997,0.602,32.9,-105.976,32.022,1.829,-0,0.024,-0,1395.569,51.447,1564.956,4.993,125.827,102.144,3.947,0.185,7245743.092,0,6.041,0.506,0.51,0.387,0.014,0.105,0.329,1.125,0,0,0,0,0,0.172,0.024,6,28.274,26.731,0.169,12.766,-69.7,266.467,974.606,0.05,0.196,5.689
41.203,32996.984,74.428,-31.966,168.317,31.972,7477.549,11.125,7477.557,0.085,150.967,0.601,32.9,-105.976,32.022,1.869,-0,0.024,-0,1395.569,51.447,1564.956,4.993,125.735,102.144,3.932,0.185,7220420.546,0,6.005,0.506,0.511,0.387,0.014,0.105,0.337,1.148,0,0,0,0,0,0.177,0.024,6,28.274,26.3,0.169,12.87,-69.7,266.42,974.606,0.05,0.197,5.639
41.253,33000.666,72.83,-31.957,167.589,31.963,7485.096,11.149,7485.105,0.085,150.937,0.599,32.9,-105.976,32.022,1.899,-0,0.024,-0,1395.569,51.447,1564.956,4.993,125.666,102.144,3.92,0.184,7193055.498,0,5.965,0.506,0.511,0.388,0.014,0.105,0.343,1.162,0,0,0,0,0,0.182,0.024,6,28.274,25.864,0.17,12.904,-69.7,266.375,974.606,0.05,0.197,5.589
41.303,33004.267,71.232,-31.939,166.874,31.945,7492.642,11.173,7492.651,0.085,150.907,0.603,32.9,-105.976,32.022,1.979,-0,0.025,-0,1395.569,51.447,1564.956,4.993,125.487,102.144,3.891,0.184,7181015.767,0,5.952,0.506,0.512,0.388,0.014,0.105,0.359,1.212,-0,0,0,0,0,0.186,0.024,6,28.274,25.424,0.17,13.341,-69.7,266.33,974.606,0.05,0.197,5.541
41.353,33007.789,69.636,-31.925,166.171,31.931,7500.187,11.198,7500.195,0.086,150.877,0.604,32.9,-105.976,32.022,2.033,-0,0.025,-0,1395.569,51.447,1564.956,4.993,125.365,102.144,3.87,0.183,7163233.757,0,5.929,0.506,0.512,0.388,0.014,0.105,0.37,1.243,-0,0,0,0,0,0.191,0.024,6,28.274,24.979,0.17,13.605,-69.7,266.286,974.606,0.05,0.197,5.493
41.403,33011.231,68.039,-31.917,165.481,31.922,7507.73,11.222,7507.738,0.086,150.847,0.602,32.9,-105.975,32.022,2.062,-0,0.025,-0,1395.569,51.447,1564.956,4.993,125.301,102.144,3.86,0.183,7138848.886,0,5.893,0.506,0.513,0.388,0.014,0.104,0.376,1.256,0,0,0,0,0,0.196,0.024,6,28.274,24.53,0.171,13.675,-69.7,266.244,974.606,0.05,0.197,5.447
41.453,33014.593,66.444,-31.916,164.804,31.922,7515.271,11.246,7515.28,0.086,150.817,0.594,32.9,-105.975,32.022,2.046,-0,0.025,-0,1395.569,51.447,1564.956,4.993,125.335,102.144,3.865,0.182,7101898.577,0,5.836,0.507,0.513,0.388,0.014,0.104,0.373,1.239,-0,0,0,0,0,0.202,0.023,6,28.274,24.075,0.171,13.392,-69.7,266.202,974.606,0.05,0.198,5.401
41.503,33017.875,64.848,-31.913,164.14,31.918,7522.812,11.271,7522.82,0.086,150.787,0.587,32.9,-105.975,32.022,2.045,-0,0.026,-0,1395.569,51.447,1564.956,4.993,125.335,102.144,3.865,0.181,7070341.696,0,5.788,0.507,0.513,0.389,0.014,0.104,0.373,1.232,-0,0,0,0,0,0.208,0.023,6,28.274,23.616,0.171,13.241,-69.7,266.162,974.606,0.05,0.198,5.357
41.553,33021.078,63.253,-31.904,163.489,31.909,7530.35,11.295,7530.359,0.086,150.758,0.585,32.9,-105.975,32.022,2.075,-0,0.026,-0,1395.569,51.447,1564.956,4.993,125.269,102.144,3.854,0.18,7049200.393,0,5.758,0.507,0.513,0.389,0.014,0.104,0.379,1.247,0,0,0,0,0,0.214,0.023,6,28.274,23.153,0.172,13.355,-69.7,266.122,974.606,0.05,0.198,5.314
41.603,33024.2,61.657,-31.899,162.852,31.904,7537.887,11.319,7537.896,0.086,150.729,0.581,32.9,-105.975,32.022,2.083,-0,0.026,-0,1395.569,51.447,1564.956,4.993,125.251,102.144,3.851,0.18,7021987.114,0,5.718,0.507,0.514,0.389,0.014,0.104,0.381,1.246,0,0,0,0,0,0.22,0.023,6,28.274,22.685,0.172,13.292,-69.7,266.083,974.606,0.05,0.198,5.272
41.653,33027.243,60.063,-31.898,162.228,31.903,7545.423,11.344,7545.431,0.086,150.7,0.573,32.9,-105.975,32.022,2.068,-0,0.026,-0,1395.569,51.447,1564.956,4.993,125.281,102.144,3.856,0.179,6988389.998,0,5.666,0.508,0.514,0.39,0.014,0.104,0.378,1.23,-0,0,0,0,0,0.226,0.023,6,28.274,22.212,0.172,13.045,-69.7,266.046,974.606,0.05,0.198,5.231
41.703,33030.207,58.467,-31.909,161.618,31.914,7552.957,11.368,7552.966,0.086,150.672,0.557,32.9,-105.975,32.022,1.991,-0,0.027,-0,1395.569,51.447,1564.956,4.993,125.452,102.144,3.885,0.178,6933848.158,0,5.579,0.508,0.514,0.39,0.014,0.104,0.362,1.171,0,0,0,0,0,0.234,0.023,6,28.274,21.734,0.172,12.229,-69.7,266.009,974.606,0.05,0.199,5.191
41.753,33033.09,56.872,-31.901,161.022,31.906,7560.49,11.393,7560.499,0.086,150.644,0.555,32.9,-105.975,32.022,2.016,-0,0.027,-0,1395.569,51.447,1564.956,4.993,125.395,102.144,3.875,0.177,6914394.739,0,5.552,0.508,0.514,0.39,0.014,0.104,0.367,1.182,-0,0,0,0,0,0.239,0.023,6,28.274,21.253,0.173,12.331,-69.7,265.973,974.606,0.05,0.199,5.152
41.803,33035.894,55.277,-31.897,160.439,31.902,7568.021,11.417,7568.03,0.086,150.616,0.55,32.9,-105.975,32.022,2.019,-0,0.027,-0,1395.569,51.447,1564.956,4.993,125.388,102.144,3.874,0.176,6888176.679,0,5.513,0.508,0.514,0.39,0.014,0.104,0.367,1.177,-0,0,0,0,0,0.245,0.023,6,28.274,20.767,0.173,12.239,-69.7,265.938,974.606,0.05,0.199,5.114
41.853,33038.618,53.683,-31.887,159.871,31.892,7575.552,11.442,7575.56,0.087,150.589,0.549,32.9,-105.975,32.022,2.054,-0,0.027,-0,1395.569,51.447,1564.956,4.993,125.31,102.144,3.861,0.176,6874538.107,0,5.495,0.509,0.515,0.391,0.014,0.104,0.375,1.196,0,0,0,0,0,0.25,0.023,6,28.274,20.277,0.173,12.464,-69.7,265.905,974.606,0.05,0.199,5.077
41.903,33041.262,52.089,-31.872,159.317,31.877,7583.08,11.466,7583.089,0.087,150.561,0.551,32.9,-105.975,32.022,2.114,-0,0.028,-0,1395.569,51.447,1564.956,4.993,125.178,102.144,3.839,0.176,6871823.589,0,5.496,0.509,0.515,0.391,0.014,0.104,0.387,1.231,-0,0,0,0,0,0.255,0.023,6,28.274,19.783,0.174,12.958,-69.7,265.872,974.606,0.05,0.199,5.041
41.953,33043.827,50.495,-31.852,158.777,31.857,7590.608,11.491,7590.616,0.087,150.534,0.556,32.9,-105.975,32.022,2.197,-0,0.028,-0,1395.569,51.447,1564.956,4.993,124.996,102.144,3.809,0.176,6880612.216,0,5.515,0.509,0.516,0.391,0.014,0.104,0.404,1.282,-0,0,0,0,0,0.259,0.023,6,28.274,19.284,0.174,13.736,-69.7,265.84,974.606,0.05,0.2,5.007
42.003,33046.312,48.903,-31.839,158.251,31.843,7598.134,11.515,7598.142,0.087,150.506,0.558,32.9,-105.975,32.022,2.249,-0,0.028,-0,1395.569,51.447,1564.956,4.993,124.885,102.144,3.79,0.176,6879790.559,0,5.518,0.509,0.516,0.391,0.014,0.104,0.415,1.311,0,0,0,0,0,0.263,0.023,6,28.274,18.781,0.174,14.244,-69.7,265.81,974.606,0.05,0.2,4.973
42.053,33048.717,47.312,-31.83,157.74,31.835,7605.658,11.54,7605.667,0.087,150.478,0.556,32.9,-105.975,32.022,2.271,-0,0.028,-0,1395.569,51.447,1564.956,4.993,124.837,102.144,3.782,0.176,6869574.576,0,5.504,0.509,0.516,0.391,0.014,0.104,0.42,1.32,0,0,0,0,0,0.269,0.023,6,28.274,18.273,0.174,14.491,-69.7,265.78,974.606,0.05,0.2,4.94
42.103,33051.043,45.72,-31.821,157.244,31.826,7613.181,11.565,7613.19,0.087,150.45,0.554,32.9,-105.975,32.022,2.298,-0,0.029,-0,1395.569,51.447,1564.956,4.993,124.779,102.144,3.773,0.176,6863257.299,0,5.497,0.509,0.516,0.391,0.014,0.104,0.426,1.331,0,0,0,0,0,0.274,0.023,6,28.274,17.761,0.175,14.822,-69.7,265.751,974.606,0.05,0.2,4.909
42.153,33053.289,44.129,-31.827,156.762,31.832,7620.703,11.589,7620.712,0.087,150.423,0.543,32.9,-105.975,32.022,2.248,-0,0.029,-0,1395.569,51.447,1564.956,4.993,124.886,102.144,3.79,0.175,6824961.792,0,5.437,0.509,0.516,0.391,0.014,0.104,0.415,1.291,-0,0,0,0,0,0.282,0.023,6,28.274,17.244,0.175,14.31,-69.7,265.723,974.606,0.05,0.2,4.878
42.203,33055.456,42.538,-31.807,156.295,31.811,7628.223,11.614,7628.232,0.087,150.395,0.55,32.9,-105.975,32.021,2.329,-0,0.029,-0,1395.569,51.447,1564.956,4.993,124.712,102.144,3.761,0.176,6847623.055,0,5.477,0.509,0.517,0.391,0.014,0.104,0.432,1.34,0,0,0,0,0,0.285,0.023,6,28.274,16.722,0.175,15.358,-69.7,265.696,974.606,0.05,0.201,4.849
42.253,33057.543,40.948,-31.803,155.844,31.808,7635.742,11.639,7635.751,0.087,150.368,0.545,32.9,-105.975,32.021,2.326,-0,0.029,-0,1395.569,51.447,1564.956,4.993,124.718,102.144,3.762,0.175,6834554.429,0,5.457,0.509,0.517,0.391,0.014,0.104,0.432,1.333,-0,0,0,0,0,0.292,0.022,6,28.274,16.196,0.175,15.466,-69.7,265.67,974.606,0.05,0.201,4.82
42.303,33059.55,39.358,-31.813,155.407,31.818,7643.26,11.664,7643.269,0.087,150.341,0.532,32.9,-105.975,32.021,2.257,-0,0.03,-0,1395.569,51.447,1564.956,4.993,124.865,102.144,3.787,0.174,6790289.652,0,5.387,0.509,0.517,0.391,0.014,0.104,0.417,1.279,-0,0,0,0,0,0.3,0.022,6,28.274,15.665,0.176,14.756,-69.7,265.646,974.606,0.05,0.201,4.793
42.353,33061.479,37.767,-31.825,154.987,31.829,7650.776,11.688,7650.785,0.088,150.315,0.519,32.9,-105.975,32.021,2.18,-0,0.03,-0,1395.569,51.447,1564.956,4.993,125.03,102.144,3.814,0.173,6741490.647,0,5.31,0.51,0.517,0.392,0.014,0.104,0.401,1.219,0,0,0,0,0,0.31,0.022,6,28.274,15.13,0.176,13.918,-69.7,265.622,974.606,0.05,0.201,4.767
42.403,33063.327,36.175,-31.819,154.581,31.823,7658.292,11.713,7658.3,0.088,150.289,0.516,32.9,-105.975,32.021,2.187,-0,0.03,-0,1395.569,51.447,1564.956,4.993,125.013,102.144,3.812,0.173,6737048.885,0,5.304,0.51,0.517,0.392,0.014,0.104,0.402,1.219,-0,0,0,0,0,0.315,0.022,6,28.274,14.59,0.176,14.203,-69.7,265.599,974.606,0.05,0.201,4.741
42.453,33065.096,34.584,-31.823,154.192,31.827,7665.805,11.738,7665.814,0.088,150.263,0.508,32.9,-105.975,32.021,2.147,-0,0.03,-0,1395.569,51.447,1564.956,4.993,125.099,102.144,3.826,0.172,6708662.954,0,5.26,0.51,0.517,0.392,0.014,0.104,0.394,1.185,-0,0,0,0,0,0.322,0.022,6,28.274,14.047,0.176,13.859,-69.7,265.577,974.606,0.05,0.202,4.717
42.503,33066.786,32.993,-31.833,153.818,31.836,7673.318,11.763,7673.327,0.088,150.238,0.497,32.9,-105.975,32.021,2.08,-0,0.031,-0,1395.569,51.447,1564.956,4.993,125.244,102.144,3.85,0.171,6664904.446,0,5.192,0.51,0.517,0.393,0.014,0.104,0.38,1.131,0,0,0,0,0,0.331,0.022,6,28.274,13.499,0.177,13.109,-69.7,265.556,974.606,0.05,0.202,4.694
42.553,33068.395,31.402,-31.817,153.46,31.821,7680.829,11.788,7680.838,0.088,150.213,0.501,32.9,-105.975,32.021,2.134,-0,0.031,-0,1395.569,51.447,1564.956,4.993,125.127,102.144,3.831,0.172,6693659.808,0,5.238,0.51,0.517,0.392,0.014,0.104,0.391,1.166,-0,0,0,0,0,0.333,0.022,6,28.274,12.948,0.177,14.192,-69.7,265.536,974.606,0.05,0.202,4.672
42.603,33069.926,29.811,-31.815,153.118,31.819,7688.339,11.813,7688.348,0.088,150.188,0.497,32.9,-105.975,32.021,2.119,-0,0.031,-0,1395.569,51.447,1564.956,4.993,125.16,102.144,3.836,0.172,6684118.911,0,5.223,0.51,0.517,0.393,0.014,0.104,0.388,1.15,0,0,0,0,0,0.338,0.022,6,28.274,12.392,0.177,14.283,-69.7,265.517,974.606,0.05,0.202,4.651
42.653,33071.377,28.22,-31.819,152.792,31.823,7695.848,11.838,7695.857,0.088,150.164,0.489,32.9,-105.975,32.021,2.077,-0,0.031,-0,1395.569,51.447,1564.956,4.993,125.25,102.144,3.851,0.171,6659156.957,0,5.185,0.51,0.517,0.393,0.014,0.104,0.379,1.116,-0,0,0,0,0,0.345,0.022,6,28.274,11.833,0.177,13.966,-69.7,265.499,974.606,0.05,0.202,4.63
42.703,33072.748,26.629,-31.823,152.483,31.827,7703.355,11.863,7703.364,0.088,150.139,0.482,32.9,-105.975,32.021,2.035,-0,0.031,-0,1395.569,51.447,1564.956,4.993,125.344,102.144,3.867,0.17,6633684.749,0,5.145,0.511,0.517,0.393,0.014,0.104,0.37,1.08,0,0,0,0,0,0.353,0.022,6,28.274,11.271,0.177,13.621,-69.7,265.482,974.606,0.05,0.203,4.611
42.753,33074.039,25.038,-31.815,152.189,31.819,7710.862,11.888,7710.871,0.088,150.115,0.482,32.9,-105.975,32.021,2.047,-0,0.032,-0,1395.569,51.447,1564.956,4.993,125.317,102.144,3.862,0.171,6650604.038,0,5.171,0.511,0.517,0.393,0.014,0.104,0.373,1.086,-0,0,0,0,0,0.355,0.022,6,28.274,10.704,0.177,14.334,-69.7,265.466,974.606,0.05,0.203,4.593
42.803,33075.252,23.447,-31.82,151.912,31.823,7718.367,11.913,7718.376,0.088,150.091,0.475,32.9,-105.975,32.021,2.002,-0,0.032,-0,1395.569,51.447,1564.956,4.993,125.417,102.144,3.879,0.17,6626580.84,0,5.134,0.511,0.517,0.393,0.014,0.104,0.364,1.048,-0,0,0,0,0,0.362,0.022,6,28.274,10.134,0.178,13.995,-69.7,265.451,974.606,0.05,0.203,4.576
42.853,33076.384,21.856,-31.82,151.651,31.824,7725.871,11.938,7725.88,0.089,150.068,0.47,32.9,-105.975,32.021,1.973,-0,0.032,-0,1395.569,51.447,1564.956,4.993,125.481,102.144,3.89,0.17,6616975.285,0,5.118,0.511,0.517,0.393,0.014,0.104,0.358,1.024,-0,0,0,0,0,0.368,0.022,6,28.274,9.561,0.178,14.005,-69.7,265.437,974.606,0.05,0.203,4.56
42.903,33077.437,20.265,-31.821,151.407,31.824,7733.373,11.963,7733.383,0.089,150.044,0.466,32.9,-105.975,32.021,1.944,-0,0.032,-0,1395.569,51.447,1564.956,4.993,125.546,102.144,3.9,0.17,6609581.338,0,5.106,0.511,0.516,0.393,0.014,0.104,0.352,1,0,0,0,0,0,0.373,0.022,6,28.274,8.984,0.178,14.054,-69.7,265.424,974.606,0.05,0.203,4.546
42.953,33078.411,18.674,-31.828,151.179,31.831,7740.875,11.988,7740.884,0.089,150.021,0.458,32.9,-105.975,32.021,1.887,-0,0.032,-0,1395.569,51.447,1564.956,4.993,125.672,102.144,3.921,0.169,6577295.071,0,5.057,0.511,0.516,0.394,0.014,0.104,0.34,0.955,0,0,0,0,0,0.38,0.022,6,28.274,8.404,0.178,13.46,-69.7,265.412,974.606,0.05,0.204,4.532
43.003,33079.305,17.082,-31.835,150.968,31.838,7748.376,12.013,7748.385,0.089,149.999,0.449,32.9,-105.975,32.021,1.829,-0,0.032,-0,1395.569,51.447,1564.956,4.993,125.802,102.144,3.943,0.168,6541381.684,0,5.002,0.512,0.516,0.394,0.014,0.104,0.329,0.907,-0,0,0,0,0,0.389,0.022,6,28.274,7.821,0.178,12.76,-69.7,265.401,974.606,0.05,0.204,4.519
43.053,33080.119,15.491,-31.837,150.774,31.84,7755.875,12.038,7755.884,0.089,149.976,0.444,32.9,-105.975,32.021,1.793,-0,0.033,-0,1395.569,51.447,1564.956,4.993,125.884,102.144,3.957,0.168,6529040.523,0,4.983,0.512,0.516,0.394,0.014,0.104,0.321,0.878,0,0,0,0,0,0.394,0.022,6,28.274,7.234,0.178,12.638,-69.7,265.391,974.606,0.05,0.204,4.507
43.103,33080.854,13.899,-31.84,150.597,31.843,7763.373,12.064,7763.382,0.089,149.954,0.439,32.9,-105.975,32.021,1.752,-0,0.033,-0,1395.569,51.447,1564.956,4.993,125.978,102.144,3.972,0.167,6511622.565,0,4.956,0.512,0.516,0.394,0.014,0.104,0.313,0.844,0,0,0,0,0,0.4,0.022,6,28.274,6.646,0.178,12.372,-69.7,265.382,974.606,0.05,0.204,4.496
43.153,33081.509,12.307,-31.842,150.437,31.845,7770.87,12.089,7770.88,0.089,149.932,0.434,32.9,-105.975,32.021,1.713,-0,0.033,-0,1395.569,51.447,1564.956,4.993,126.066,102.144,3.987,0.167,6498765.44,0,4.936,0.512,0.516,0.394,0.014,0.104,0.305,0.813,-0,0,0,0,0,0.405,0.022,6,28.274,6.054,0.179,12.205,-69.7,265.374,974.606,0.05,0.204,4.487
43.203,33082.084,10.715,-31.839,150.293,31.842,7778.366,12.114,7778.376,0.089,149.911,0.434,32.9,-105.975,32.021,1.694,-0,0.033,-0,1395.569,51.447,1564.956,4.993,126.112,102.144,3.995,0.167,6519470.808,0,4.965,0.512,0.516,0.394,0.014,0.104,0.302,0.799,0,0,0,0,0,0.406,0.022,6,28.274,5.46,0.179,12.863,-69.7,265.367,974.606,0.05,0.205,4.478
43.253,33082.58,9.123,-31.836,150.166,31.839,7785.861,12.139,7785.871,0.089,149.889,0.436,32.9,-105.975,32.021,1.675,-0,0.033,-0,1395.569,51.447,1564.956,4.993,126.158,102.144,4.002,0.168,6554527.215,0,5.014,0.511,0.516,0.394,0.014,0.104,0.298,0.787,0,0,0,0,0,0.405,0.022,6,28.274,4.863,0.179,13.864,-69.7,265.361,974.606,0.05,0.205,4.47
43.303,33082.997,7.531,-31.842,150.057,31.845,7793.355,12.165,7793.365,0.089,149.867,0.429,32.9,-105.975,32.021,1.619,-0,0.033,-0,1395.569,51.447,1564.956,4.993,126.286,102.144,4.024,0.167,6521916.799,0,4.965,0.512,0.516,0.394,0.014,0.104,0.287,0.742,0,0,0,0,0,0.412,0.022,6,28.274,4.264,0.179,13.153,-69.7,265.355,974.606,0.05,0.205,4.464
43.353,33083.333,5.939,-31.845,149.964,31.848,7800.848,12.19,7800.857,0.09,149.846,0.425,32.9,-105.975,32.021,1.575,-0,0.033,-0,1395.569,51.447,1564.956,4.993,126.39,102.144,4.041,0.167,6514900.424,0,4.953,0.512,0.515,0.394,0.014,0.104,0.278,0.708,-0,0,0,0,0,0.416,0.022,6,28.274,3.662,0.179,13.067,-69.7,265.351,974.606,0.05,0.205,4.458
43.403,33083.59,4.346,-31.844,149.888,31.847,7808.34,12.215,7808.349,0.09,149.825,0.426,32.9,-105.975,32.021,1.538,-0,0.034,-0,1395.569,51.447,1564.956,4.993,126.478,102.144,4.056,0.168,6545390.142,0,4.995,0.511,0.515,0.394,0.014,0.104,0.271,0.683,-0,0,0,0,0,0.415,0.022,6,28.274,3.059,0.179,13.904,-69.7,265.348,974.606,0.05,0.205,4.454
43.453,33083.768,2.754,-31.849,149.829,31.851,7815.83,12.241,7815.84,0.09,149.804,0.421,32.9,-105.974,32.021,1.487,-0,0.034,-0,1395.569,51.447,1564.956,4.993,126.599,102.144,4.076,0.168,6530470.744,0,4.972,0.512,0.515,0.394,0.014,0.104,0.261,0.644,-0,0,0,0,0,0.42,0.022,6,28.274,2.453,0.179,13.587,-69.7,265.346,974.606,0.05,0.206,4.45
43.503,33083.866,1.162,-31.851,149.787,31.854,7823.32,12.266,7823.329,0.09,149.783,0.42,32.9,-105.974,32.021,1.438,-0,0.034,-0,1395.569,51.447,1564.956,4.993,126.717,102.144,4.096,0.168,6538377.852,0,4.981,0.512,0.515,0.394,0.014,0.104,0.252,0.608,-0,0,0,0,0,0.422,0.022,6,28.274,1.844,0.179,13.826,-69.7,265.345,974.606,0.05,0.206,4.448
43.553,33083.884,-0.431,-31.855,149.762,31.858,7830.808,12.292,7830.818,0.09,149.762,0.416,32.9,-105.974,32.021,1.386,-0,0.034,-0,1395.569,51.447,1564.956,4.993,126.842,102.144,4.116,0.168,6531000.922,0,4.968,0.512,0.515,0.394,0.014,0.104,0.242,0.569,0,0,0,0,0,0.425,0.022,6,28.274,1.234,0.18,13.666,-69.7,265.344,974.606,0.05,0.206,4.446
43.603,33083.823,-2.024,-31.858,149.755,31.861,7838.296,12.317,7838.306,0.09,149.741,0.416,32.9,-105.974,32.021,1.33,-0,0.034,-0,1395.569,51.447,1564.956,4.993,126.977,102.144,4.139,0.168,6546747.917,0,4.989,0.511,0.514,0.394,0.014,0.104,0.231,0.53,0,0,0,0,0,0.426,0.022,6,28.274,0.623,0.18,14.068,-69.7,265.345,974.606,0.05,0.206,4.446
